name_document,len_tess,len_llm,levenshtein_distance,normalized_levenshtein,jaro_winkler_similarity,word_error_rate,sequence_matcher_ratio,length_difference,key,layout,binary
rsc37_rsc176_566.txt,3028,2661,1263,0.417107001321004,0.7709638628688514,0.6905158069883528,0.15714536825452627,-367,binarysimple,0,1
rsc37_rsc176_525.txt,2672,2427,692,0.25898203592814373,0.7954344131658004,0.5593952483801296,0.3718376152186703,-245,binarysimple,0,1
rsc37_rsc176_1043.txt,2495,4235,3043,0.7185360094451003,0.6645291300528281,1.1660649819494584,0.03387815750371471,1740,binarysimple,0,1
rsc37_rsc176_399.txt,3140,2783,952,0.30318471337579617,0.7791074717676877,0.5842696629213483,0.4075637345939558,-357,binarysimple,0,1
rsc37_rsc176_638.txt,3766,1926,2824,0.7498672331386086,0.6658655971959672,0.9400218102508179,0.03162333099086437,-1840,binarysimple,0,1
rsc37_rsc176_714.txt,4039,3411,1481,0.36667491953453824,0.8016114494294805,0.6587795765877957,0.1581208053691275,-628,binarysimple,0,1
rsc37_rsc176_595.txt,5030,4605,1114,0.22147117296222665,0.8776004493459028,0.5143184421534936,0.28936170212765955,-425,binarysimple,0,1
rsc37_rsc176_484.txt,10250,7020,7131,0.6957073170731707,0.6711348954695125,0.9132947976878613,0.02165605095541401,-3230,binarysimple,0,1
rsc37_rsc176_837.txt,3476,3268,747,0.21490218642117376,0.7992027293573539,0.5008460236886633,0.18594306049822065,-208,binarysimple,0,1
rsc37_rsc176_551.txt,3141,2524,1194,0.38013371537726837,0.7545151044676429,0.7192374350086655,0.3269196822594881,-617,binarysimple,0,1
rsc37_rsc176_816.txt,2687,2433,1115,0.4149609229624116,0.7733219105798069,0.6777546777546778,0.283203125,-254,binarysimple,0,1
rsc37_rsc176_291.txt,4522,4270,936,0.20698805838124723,0.8128055237492887,0.4249037227214377,0.2788898999090082,-252,binarysimple,0,1
rsc37_rsc176_278.txt,2864,2868,334,0.11645746164574616,0.8917828486552583,0.3264033264033264,0.5491974877878576,4,binarysimple,0,1
rsc37_rsc176_690.txt,3364,1696,2556,0.7598097502972652,0.6627274360344438,0.9504950495049505,0.05731225296442688,-1668,binarysimple,0,1
rsc37_rsc176_867.txt,3368,3109,1154,0.34263657957244653,0.8096521168268662,0.6366459627329193,0.3239153929288251,-259,binarysimple,0,1
rsc37_rsc176_601.txt,7093,3747,3967,0.5592838009304949,0.6827369928006028,0.7602377807133421,0.17158671586715868,-3346,binarysimple,0,1
rsc37_rsc176_390.txt,2692,2286,824,0.3060921248142645,0.7787833647548076,0.6008316008316008,0.4077942948975492,-406,binarysimple,0,1
rsc37_rsc176_603.txt,3869,3756,762,0.19695011630912382,0.8208986157269272,0.3591654247391952,0.14557377049180328,-113,binarysimple,0,1
rsc37_rsc176_840.txt,3466,2673,1379,0.397864974033468,0.7524928627804496,0.6768759571209801,0.12705652386382146,-793,binarysimple,0,1
rsc37_rsc176_283.txt,3309,3303,351,0.10607434270172257,0.8424459836261412,0.3107142857142857,0.20387174833635813,-6,binarysimple,0,1
rsc37_rsc176_711.txt,3373,3290,836,0.24785057812036762,0.7995951120455631,0.5263157894736842,0.21281704937715742,-83,binarysimple,0,1
rsc37_rsc176_383.txt,2949,2819,386,0.13089182773821634,0.8160958301663728,0.398406374501992,0.48335644937586686,-130,binarysimple,0,1
rsc37_rsc176_809.txt,3504,3282,947,0.2702625570776256,0.8422428790777654,0.5841269841269842,0.07427055702917772,-222,binarysimple,0,1
rsc37_rsc176_589.txt,3490,2646,1493,0.42779369627507163,0.7413512108081627,0.6962962962962963,0.14765319426336376,-844,binarysimple,0,1
rsc37_rsc176_664.txt,2597,2439,961,0.3700423565652676,0.7699148540492841,0.6388308977035491,0.2561556791104051,-158,binarysimple,0,1
rsc37_rsc176_367.txt,5035,4096,1228,0.2438927507447865,0.8696166968326458,0.5674373795761078,0.3688533566969664,-939,binarysimple,0,1
rsc37_rsc176_625.txt,3578,2717,1867,0.5217998882057016,0.7441014893829344,0.7667597765363129,0.08800635424940428,-861,binarysimple,0,1
