total_length,num_lines,avg_line_length,num_words,avg_word_length,non_ascii_chars,short_lines,garbage_lines,alphabetic_letter_count,filename,version
3921,130,30.161538461538463,654,4.67737003058104,57,64,64,2995,rsc37_rsc176_603.txt,binary_simple_cut
3582,174,20.586206896551722,581,4.497418244406196,101,108,106,2455,rsc37_rsc176_840.txt,binary_simple_cut
3466,80,43.325,585,4.714529914529915,69,26,25,2670,rsc37_rsc176_283.txt,binary_simple_cut
3618,105,34.457142857142856,643,4.346811819595645,76,42,37,2659,rsc37_rsc176_711.txt,binary_simple_cut
2993,68,44.01470588235294,495,4.703030303030303,65,17,18,2249,rsc37_rsc176_383.txt,binary_simple_cut
3666,112,32.732142857142854,637,4.419152276295134,84,44,44,2654,rsc37_rsc176_809.txt,binary_simple_cut
3464,165,20.993939393939392,610,4.242622950819672,93,96,93,2434,rsc37_rsc176_589.txt,binary_simple_cut
1246,61,20.42622950819672,200,4.68,40,35,34,871,rsc37_rsc176_664.txt,binary_simple_cut
4515,158,28.575949367088608,762,4.669291338582677,63,80,72,3475,rsc37_rsc176_367.txt,binary_simple_cut
3150,137,22.99270072992701,571,4.175131348511384,69,78,73,2240,rsc37_rsc176_625.txt,binary_simple_cut
4146,160,25.9125,726,4.210743801652892,95,89,84,2904,rsc37_rsc176_628.txt,binary_simple_cut
3651,195,18.723076923076924,635,4.240944881889764,81,121,113,2550,rsc37_rsc176_557.txt,binary_simple_cut
5005,211,23.72037914691943,846,4.530732860520095,87,119,116,3694,rsc37_rsc176_717.txt,binary_simple_cut
4636,192,24.145833333333332,792,4.517676767676767,99,114,109,3445,rsc37_rsc176_361.txt,binary_simple_cut
3008,120,25.066666666666666,576,3.9131944444444446,69,66,62,2129,rsc37_rsc176_583.txt,binary_simple_cut
2826,126,22.428571428571427,475,4.446315789473684,70,65,63,2016,rsc37_rsc176_480.txt,binary_simple_cut
9543,241,39.59751037344398,1689,4.372409709887507,211,95,91,7112,rsc37_rsc176_873.txt,binary_simple_cut
4229,162,26.104938271604937,692,4.680635838150289,79,87,86,3115,rsc37_rsc176_477.txt,binary_simple_cut
2685,160,16.78125,506,3.9031620553359683,59,110,98,1882,rsc37_rsc176_516.txt,binary_simple_cut
2859,123,23.24390243902439,505,4.293069306930693,53,65,65,2038,rsc37_rsc176_686.txt,binary_simple_cut
3262,132,24.71212121212121,569,4.3954305799648505,67,71,70,2392,rsc37_rsc176_598.txt,binary_simple_cut
4364,87,50.160919540229884,724,4.814917127071824,115,18,18,3348,rsc37_rsc176_560.txt,binary_simple_cut
4630,154,30.064935064935064,788,4.615482233502538,38,65,65,3538,rsc37_rsc176_648.txt,binary_simple_cut
2501,157,15.929936305732484,475,3.783157894736842,45,93,86,1650,rsc37_rsc176_708.txt,binary_simple_cut
3335,143,23.321678321678323,575,4.493913043478261,29,75,70,2512,rsc37_rsc176_501.txt,binary_simple_cut
6065,249,24.3574297188755,1100,4.153636363636363,154,143,131,4317,rsc37_rsc176_364.txt,binary_simple_cut
2700,118,22.88135593220339,458,4.526200873362446,52,70,60,1999,rsc37_rsc176_336.txt,binary_simple_cut
3731,197,18.939086294416242,664,4.201807228915663,74,119,104,2591,rsc37_rsc176_702.txt,binary_simple_cut
3204,128,25.03125,551,4.451905626134301,78,69,61,2297,rsc37_rsc176_830.txt,binary_simple_cut
4467,182,24.543956043956044,815,4.122699386503068,92,94,82,3154,rsc37_rsc176_734.txt,binary_simple_cut
3056,108,28.296296296296298,527,4.546489563567363,70,47,46,2282,rsc37_rsc176_635.txt,binary_simple_cut
2788,150,18.586666666666666,472,4.389830508474576,59,100,96,1951,rsc37_rsc176_490.txt,binary_simple_cut
2874,99,29.03030303030303,539,3.968460111317254,67,49,46,2028,rsc37_rsc176_725.txt,binary_simple_cut
3587,168,21.351190476190474,629,4.327503974562798,62,101,99,2608,rsc37_rsc176_728.txt,binary_simple_cut
1727,112,15.419642857142858,339,3.4837758112094397,47,71,70,1079,rsc37_rsc176_606.txt,binary_simple_cut
